node_id,code,label,full_label,depth,ontology_description,llm_description,llm_model
http://example.org/competencies#GRNTI_02_01_07,02.01.07,Философия как наука,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Философия как наука,3,Философия как наука,"Философия как наука (02.01.07) — это раздел в области общих вопросов философии, изучающий философию в качестве самостоятельной научной дисциплины с собственными методами и предметом. В рамках этого направления анализируются такие понятия, как научность (scientificity), рациональность (rationality), эпистемология (epistemology), онтология (ontology), аксиология (axiology), метафизика (metaphysics), а также критерии демаркации науки и философии. В публикациях встречаются синонимы «философия науки», «метафилософия», а также парафразы «философская методология» и «теоретическая философия». Типичными методами исследования выступают концептуальный анализ, сравнительная методология, историко-философская реконструкция и логико-семантический анализ. Прикладные области включают разработку критериев научной рациональности, анализ оснований междисциплинарных исследований и формирование этических стандартов научного знания. В отличие от соседних тем, здесь акцент делается на внутренней структуре и методологии философского знания, а не на его организации, преподавании или популяризации.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_01_13,02.01.13,"Научные общества, съезды, конгрес-сы, конференции, симпозиумы по философии","Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Научные общества, съезды, конгрес-сы, конференции, симпозиумы по философии",3,"Научные общества, съезды, конгрес-сы, конференции, симпозиумы по философии","Научные общества, съезды, конгрессы, конференции, симпозиумы по философии представляют собой организационные формы профессионального взаимодействия в рамках общих вопросов философии. В рамках этой тематики ключевыми понятиями являются философское сообщество (philosophical community), философское собрание (philosophical gathering), философский конгресс (philosophical congress), философская конференция (philosophical conference), философский симпозиум (philosophical symposium), а также философская секция (philosophical section) и круглый стол (round table). В публикациях встречаются такие синонимы, как философские форумы, встречи философов, профессиональные философские мероприятия. Основными методами выступают организация и проведение мероприятий, подготовка программ, формирование секций и круглых столов, а объектами — участники философских сообществ и их взаимодействие. Прикладные области включают развитие философского диалога, обмен исследовательским опытом, координацию научных инициатив. Данная тема выделяется в родительской области акцентом на институциональные формы коммуникации философов, в отличие от вопросов преподавания, популяризации или международного сотрудничества.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_01_17,02.01.17,Международное сотрудничество в области философии,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Международное сотрудничество в области философии,3,Международное сотрудничество в области философии,"Международное сотрудничество в области философии является подразделом общих вопросов философии и охватывает взаимодействие исследователей, научных коллективов и философских сообществ из разных стран. В рамках этой тематики ключевыми понятиями выступают: международное сотрудничество (international cooperation), философские исследования (philosophical research), межкультурный диалог (intercultural dialogue), сравнительная философия (comparative philosophy), философские традиции (philosophical traditions), глобальные философские проблемы (global philosophical issues), а также философское образование (philosophical education). В публикациях для обозначения данного концепта используются синонимы: «международные философские проекты», «транснациональное философское взаимодействие», «глобальные философские инициативы». Типичными методами исследования являются сравнительный анализ философских систем, организация совместных конференций и публикация коллективных монографий. Прикладные области включают развитие философских образовательных программ, формирование междисциплинарных исследовательских сетей и содействие взаимопониманию между культурами. В отличие от соседних концептов, данный раздел акцентирует внимание именно на трансграничном взаимодействии и интеграции философских традиций, а не на внутренней организации исследований или популяризации философии.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_01_21,02.01.21,Организация научно-исследователь-ской работы в области философии,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Организация научно-исследователь-ской работы в области философии,3,Организация научно-исследователь-ской работы в области философии,"Организация научно-исследовательской работы в области философии охватывает вопросы планирования, координации и поддержки философских исследований, являясь частью общих вопросов философии. В проектных текстах по данной теме регулярно встречаются такие понятия, как «научно-исследовательская работа» (research work), «философское исследование» (philosophical research), «методология философии» (philosophical methodology), «научный проект» (research project), «грант» (grant), «публикация» (publication), «экспертиза» (expert review) и «научная программа» (research program). В публикациях также используются синонимы «организация философских исследований», «управление исследовательской деятельностью в философии» и «поддержка философских научных инициатив». Типичными методами выступают разработка научных программ, экспертиза заявок и координация исследовательских коллективов. Практическое применение связано с формированием исследовательских коллективов, поддержкой фундаментальных исследований и развитием философского образования. В отличие от соседних концептов, здесь акцент делается на внутренней организации и управлении исследовательским процессом, а не на международном сотрудничестве, преподавании или популяризации философии.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_01_29,02.01.29,Информационная деятельность в области философии,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Информационная деятельность в области философии,3,Информационная деятельность в области философии,"Информационная деятельность в области философии охватывает процессы сбора, обработки, хранения, распространения и использования философской информации в научных, образовательных и культурных целях. Ключевые понятия включают философскую информацию (philosophical information), информационные ресурсы (information resources), базы данных (databases), электронные библиотеки (digital libraries), онтологии (ontologies), семантические сети (semantic networks), а также классификацию и систематизацию философских знаний (classification and systematization of philosophical knowledge). В публикациях встречаются синонимы: информационное обеспечение философии, информационная поддержка философских исследований, организация философской информации. Типичными объектами выступают электронные архивы философских текстов, системы поиска и навигации по философским источникам, а также методы семантического анализа и индексирования философских документов. Практическое применение связано с созданием цифровых коллекций философских трудов, разработкой справочных систем для исследователей и поддержкой образовательных платформ по философии. В отличие от смежных тем, данный концепт акцентирует внимание именно на инфраструктуре и технологиях работы с философской информацией, а не на организации научных мероприятий или преподавании.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_01_39,02.01.39,Пропаганда и популяризация философских знаний,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Пропаганда и популяризация философских знаний,3,Пропаганда и популяризация философских знаний,"Пропаганда и популяризация философских знаний относится к общим вопросам философии и охватывает деятельность по распространению философских идей среди широкой аудитории. В рамках данной темы ключевыми понятиями являются философия (philosophy), популяризация (popularization), пропаганда (propaganda), философское просвещение (philosophical enlightenment), философская культура (philosophical culture), а также философская грамотность (philosophical literacy). В публикациях встречаются синонимы: распространение философии, популяризация философской мысли, философское образование широкой публики. Типичными методами выступают публичные лекции, издание научно-популярной литературы, организация философских клубов и просветительских мероприятий. Прикладные области включают работу со СМИ, музейную педагогику и создание образовательных программ для взрослых. В отличие от преподавания философии, данный концепт ориентирован не на академическую аудиторию, а на формирование философских представлений в обществе в целом.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_01_45,02.01.45,Преподавание философии,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Преподавание философии,3,Преподавание философии,"Преподавание философии (02.01.45) относится к общим вопросам философии и охватывает организацию, содержание и методику обучения философским дисциплинам. В проектных текстах по этой теме обязательно встречаются такие термины, как философия (philosophy), учебный процесс (educational process), философское образование (philosophical education), преподавание (teaching), учебные программы (curricula), философия в школе (philosophy at school), а также философская грамотность (philosophical literacy) и педагогические технологии (pedagogical technologies). В публикациях используются синонимы: методика преподавания философии (methods of teaching philosophy), философская дидактика (philosophical didactics), обучение философским дисциплинам (teaching philosophical disciplines). Типичными объектами исследования являются философские курсы, образовательные стандарты и педагогические практики, а методы включают анализ учебных программ, разработку методических материалов и педагогический эксперимент. Прикладные области охватывают школьное и вузовское образование, а также повышение квалификации преподавателей. В отличие от соседних концептов, данный раздел фокусируется именно на процессе обучения и содержании философского образования, а не на научных обществах, международном сотрудничестве или популяризации философских знаний.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_01_79,02.01.79,Кадры философов,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Кадры философов,3,Кадры философов,"Кадры философов — это концепт в разделе «Общие вопросы философии», охватывающий проблематику формирования, подготовки и профессиональной деятельности специалистов в области философии. В проектных текстах по данной теме обязательно встречаются термины: философские кадры (philosophical personnel), подготовка философов (training of philosophers), профессиональные компетенции (professional competencies), академическая карьера (academic career), философское сообщество (philosophical community), трудоустройство (employment), квалификация (qualification), научная школа (scientific school). В публикациях также используются синонимы: философские специалисты, специалисты по философии, философские работники. Типичные методы исследования включают анализ образовательных программ, анкетирование и интервьюирование философов, мониторинг карьерных траекторий. Прикладные области применения охватывают высшее образование, научное сообщество и кадровое планирование в гуманитарной сфере. В отличие от соседних концептов, акцент здесь делается именно на человеческом капитале и профессиональном развитии философов, а не на институциональных или информационных аспектах.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_11_21,02.11.21,Отдельные направления и школы современной философии,Раздел: ФИЛОСОФИЯ. Область: Общие проблемы современной философии. Отдельные направления и школы современной философии,3,Отдельные направления и школы современной философии,"Отдельные направления и школы современной философии представляют собой ключевой подраздел в структуре общих проблем современной философии. В рамках данной области исследуются такие направления, как аналитическая философия (analytical philosophy), феноменология (phenomenology), экзистенциализм (existentialism), структурализм и постструктурализм, а также герменевтика (hermeneutics) и постмодернизм (postmodernism). В публикациях встречаются синонимичные наименования: «современные философские течения», «философские школы XX–XXI веков», «течения современной мысли». Типичными методами исследования выступают сравнительный анализ, историко-философская реконструкция, концептуальный анализ и критическая интерпретация текстов. Прикладные области включают этику, теорию познания и философию языка. Этот концепт выделяется в родительской области акцентом на систематизацию и анализ философских школ и направлений, в отличие от персоналий или национальных философских традиций.",GigaChat-702B v6_optimized
http://example.org/competencies#GRNTI_02_11_91,02.11.91,Философия в отдельных странах. Персоналия,Раздел: ФИЛОСОФИЯ. Область: Общие проблемы современной философии. Философия в отдельных странах. Персоналия,3,Философия в отдельных странах. Персоналия,"Концепт «Философия в отдельных странах. Персоналия» относится к разделу «Общие проблемы современной философии» и охватывает изучение философских традиций, персоналий и школ в национальных контекстах. В проектных текстах по этой теме регулярно встречаются такие термины, как национальная философия (national philosophy), философская традиция (philosophical tradition), философская школа (philosophical school), персоналия (personality), историко-философский контекст (historical-philosophical context), философская мысль (philosophical thought), а также сравнительная философия (comparative philosophy). В публикациях для обозначения данного концепта используются синонимы: философия отдельных регионов, национальная философская традиция, философские персоналии в странах. Типичными методами исследования являются историко-философский анализ, компаративистика, биографический метод и анализ философского наследия. Прикладные области включают разработку образовательных программ по философии, историко-философские исследования и межкультурный философский диалог. В отличие от соседних концептов, данный раздел акцентирует внимание на национальных и личностных аспектах философского знания, а не на общих направлениях или школах современной философии.",GigaChat-702B v6_optimized
