node_id,code,label,full_label,depth,ontology_description,llm_description,llm_model
http://example.org/competencies#GRNTI_02_01_07,02.01.07,Философия как наука,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Философия как наука,3,Философия как наука,"Философия как наука (philosophy as a science) изучает фундаментальные принципы познания, бытия и ценностей, определяя собственный предмет, методы и место в системе научного знания. В рамках раздела «Философия» и области «Общие вопросы философии» она затрагивает такие категории, как онтология (ontology), эпистемология (epistemology), методология (methodology) и рациональное познание (rational cognition). Близкие по смыслу понятия — «теоретическая философия» и «философия в научном контексте». Среди ключевых задач — анализ критериев научности философского знания, соотношение философии с частными науками, исследование структуры философского дискурса. Прикладное значение концепции проявляется, например, в методологии научного исследования и в междисциплинарных исследованиях на стыке философии и естественных наук.",YandexGPT-235B v2
http://example.org/competencies#GRNTI_02_01_13,02.01.13,"Научные общества, съезды, конгрес-сы, конференции, симпозиумы по философии","Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Научные общества, съезды, конгрес-сы, конференции, симпозиумы по философии",3,"Научные общества, съезды, конгрес-сы, конференции, симпозиумы по философии","Раздел «Философия» включает область «Общие вопросы философии», в рамках которой выделяется концепт «Научные общества, съезды, конгрессы, конференции, симпозиумы по философии» (02.01.13). Он охватывает мероприятия и структуры, предназначенные для консолидации философского сообщества: научные общества (academic societies), философские съезды (philosophical congresses), конференции (conferences), симпозиумы (symposia) и конгрессы. К родственным понятиям относятся «философские форумы» и «научные встречи по философии». В рамках концепта решаются задачи организации дискуссий по актуальным философским проблемам, обмена результатами исследований и координации научной работы. Среди типичных методов — проведение тематических секций, круглых столов и публичных дебатов. Прикладная область применения охватывает развитие философской мысли и совершенствование методологических подходов в гуманитарных науках.",YandexGPT-235B v2
http://example.org/competencies#GRNTI_02_01_17,02.01.17,Международное сотрудничество в области философии,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Международное сотрудничество в области философии,3,Международное сотрудничество в области философии,"Международное сотрудничество в области философии (international philosophical cooperation) относится к разделу «Философия» и охватывает взаимодействие учёных, исследовательских групп и академических институтов разных стран в сфере философских исследований. К ключевым аспектам относятся обмен идеями, совместные научные проекты и кросс‑культурный диалог (межкультурное взаимодействие, международная академическая кооперация). В рамках этого направления решаются задачи организации совместных публикаций, проведения международных семинаров и сравнительного анализа философских традиций (philosophical traditions). Объектами исследования могут выступать глобальные этические проблемы и эволюция философских концепций в разных культурных контекстах. Прикладное значение проявляется, например, в разработке общечеловеческих ценностных парадигм и в изучении влияния философских идей на международные политические процессы.",YandexGPT-235B v2
http://example.org/competencies#GRNTI_02_01_21,02.01.21,Организация научно-исследователь-ской работы в области философии,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Организация научно-исследователь-ской работы в области философии,3,Организация научно-исследователь-ской работы в области философии,"Организация научно‑исследовательской работы в области философии (02.01.21) относится к разделу «Философия» и охватывает вопросы планирования, координации и управления философскими исследованиями. В рамках этого направления рассматриваются такие аспекты, как формирование исследовательских программ, распределение ресурсов, организация рабочих групп и мониторинг выполнения научных задач. Ключевые научные термины: исследовательская программа (research programme), методология исследования (research methodology), академический проект (academic project), научная экспертиза (scientific review). Родственные понятия — управление философскими исследованиями, координация научно‑исследовательской деятельности. Среди типичных задач — разработка концептуальных рамок исследования, согласование этапов работы и оценка промежуточных результатов. Прикладные области применения включают академическую среду и разработку образовательных исследовательских курсов в сфере философского знания.",YandexGPT-235B v2
http://example.org/competencies#GRNTI_02_01_29,02.01.29,Информационная деятельность в области философии,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Информационная деятельность в области философии,3,Информационная деятельность в области философии,"Информационная деятельность в области философии (02.01.29) относится к разделу «Философия» (02), области «Общие вопросы философии» (02.01) и охватывает процессы сбора, систематизации, хранения и распространения философских знаний. Синонимичные и родственные понятия — информационное обеспечение философских исследований, информационно‑библиографическое сопровождение философской науки. В рамках этого направления решаются задачи каталогизации философских текстов, создания тематических баз данных и аннотирования научных публикаций. Ключевые термины: философские источники (philosophical sources), библиографическая база данных (bibliographic database), тематический каталог (subject catalog), информационный поиск (information retrieval). Прикладное значение проявляется в поддержке академических исследований и в организации доступа к наследию мировой философской мысли.",YandexGPT-235B v2
http://example.org/competencies#GRNTI_02_01_39,02.01.39,Пропаганда и популяризация философских знаний,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Пропаганда и популяризация философских знаний,3,Пропаганда и популяризация философских знаний,"Пропаганда и популяризация философских знаний (promotion and popularization of philosophical knowledge) относится к области «Общие вопросы философии» и подразумевает деятельность по распространению философских идей и концепций среди широкой аудитории. К синонимам и родственным понятиям можно отнести «популяризацию философии» и «просветительскую работу в сфере философии». В рамках этого направления решаются задачи адаптации сложных философских теорий для неспециализированной аудитории, разъяснения ключевых философских категорий (таких как бытие, сознание, истина) и демонстрации значимости философского знания для осмысления актуальных социальных и культурных вопросов. Типичными методами выступают создание научно‑популярных текстов, организация публичных лекций и дискуссий, а в качестве прикладных областей можно указать гражданское просвещение и формирование критического мышления в обществе.",YandexGPT-235B v2
http://example.org/competencies#GRNTI_02_01_45,02.01.45,Преподавание философии,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Преподавание философии,3,Преподавание философии,"Преподавание философии (teaching philosophy) относится к области «Общие вопросы философии» и охватывает разработку и реализацию образовательных программ, методик и подходов к изучению философских дисциплин. В рамках этого концепта исследуются дидактические стратегии, формы организации учебного процесса и способы формирования философского мышления (philosophical thinking) у обучающихся. Ключевые задачи включают отбор философского содержания для разных уровней образования, адаптацию классических и современных философских концепций (philosophical concepts) к учебным целям, а также оценку эффективности образовательных практик. Среди методов — лекционно‑семинарская система, философские дискуссии и кейс‑метод. Применение подходов преподавания философии актуально в высшем образовании и системе дополнительного профессионального обучения.",YandexGPT-235B v2
http://example.org/competencies#GRNTI_02_01_79,02.01.79,Кадры философов,Раздел: ФИЛОСОФИЯ. Область: Общие вопросы философии. Кадры философов,3,Кадры философов,"Концепт «Кадры философов» (02.01.79) в рамках раздела «Философия», области «Общие вопросы философии» охватывает вопросы подготовки, квалификации и профессионального развития специалистов в сфере философского знания. Речь идёт о философах (philosophers), аспирантах, докторантах, преподавателях и исследователях философских дисциплин. В фокусе — проблемы аттестации научных кадров, карьерного роста в академической среде, формирования философского сообщества. Среди ключевых задач — анализ образовательных траекторий, оценка уровня компетенций, обеспечение преемственности философских школ. Прикладное значение имеет в сфере высшего образования и научно‑исследовательской деятельности.",YandexGPT-235B v2
http://example.org/competencies#GRNTI_02_11_21,02.11.21,Отдельные направления и школы современной философии,Раздел: ФИЛОСОФИЯ. Область: Общие проблемы современной философии. Отдельные направления и школы современной философии,3,Отдельные направления и школы современной философии,"Концепт «Отдельные направления и школы современной философии» (код 02.11.21) в рамках раздела «Философия», области «Общие проблемы современной философии» охватывает исследования философских течений и доктрин, актуальных в новейшее время. Речь идёт, в частности, о таких направлениях, как экзистенциализм (existentialism), постмодернизм (postmodernism), аналитическая философия (analytic philosophy) и феноменология (phenomenology). Синонимичные и родственные обозначения — «современные философские течения», «философские школы XX–XXI веков», «направления неклассической философии». В рамках концепта анализируются концептуальные основания доктрин, сопоставляются их ключевые категории и методологии, реконструируются логические связи между базовыми тезисами. Среди прикладных областей — этика и философия науки, где идеи отдельных школ помогают осмысливать актуальные социокультурные и технологические вызовы.",YandexGPT-235B v2
http://example.org/competencies#GRNTI_02_11_91,02.11.91,Философия в отдельных странах. Персоналия,Раздел: ФИЛОСОФИЯ. Область: Общие проблемы современной философии. Философия в отдельных странах. Персоналия,3,Философия в отдельных странах. Персоналия,"Концепт «Философия в отдельных странах. Персоналия» (02.11.91) в рамках раздела «ФИЛОСОФИЯ», области «Общие проблемы современной философии» посвящён изучению философского наследия и идей конкретных мыслителей в контексте национальной философской традиции. В фокусе исследования — биографии философов, эволюция их воззрений (views), связь концепций с культурно‑историческим контекстом страны. Ключевые термины: философская традиция (philosophical tradition), мировоззрение (worldview), интеллектуальная биография, национальная философия (national philosophy). Родственные понятия — «история национальной философии», «изучение философских персоналий», «биографико‑философский анализ». Типичные задачи: реконструкция философских идей отдельных авторов, анализ влияния социокультурной среды на формирование доктрин, сопоставление позиций мыслителей внутри национальной школы. Применение результатов актуально для историко‑философских исследований и преподавания философии.",YandexGPT-235B v2
